id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
RRU-47010,Riverside,Ballinger,2001-07-09,2001-07-09,CDF,350,Undetermined,2001,1,2000-07-09
RRU-47545,Riverside,Silent,2001-07-11,2001-07-12,CDF,548,Equip. Use,2001,2,2000-07-11
YNP-1655,Mariposa/Yosemite NP,Hoover Complex,2001-07-13,2001-07-13,NPS,8007,Lightning,2001,1,2000-07-13
MMU-11907,Merced,Crane,2001-07-16,2001-07-16,LOCAL,900,Under Invest.,2001,1,2000-07-16
RRU-50309,Riverside,Reche,2001-07-22,2001-07-23,CDF,1798,Vehicle,2001,2,2000-07-22
MMU-12399,Mariposa/SNF,Briceburg,2001-07-24,2001-07-25,CDF,800,Under Invest.,2001,2,2000-07-24
BTU-8762,Lassen,Stream,2001-07-26,2001-07-26,USFS,3560,Lightning,2001,1,2000-07-26
BDU-6307,San Bernardino,Shelby,2001-07-27,2001-07-28,CDF,729,Railroad,2001,2,2000-07-27
SHU-7073,Shasta,Powerhouse,2001-07-28,2001-08-01,CDF,490,Undetermined,2001,5,2000-07-28
AEU-11228,Sacramento,Clay,2001-07-31,2001-07-31,CDF,535,Misc.,2001,1,2000-07-31
SCU-3270,Stanislaus,Del Puerto,2001-08-03,2001-08-04,CDF,400,Campfire,2001,2,2000-08-03
MNF-667,"Mendocino NF/Colusa,Glenn",Trough,2001-08-08,2001-08-20,USFS,24970,Undetermined,2001,13,2000-08-08
LMU-2549,Modoc,Modoc Complex,2001-08-08,2001-08-08,USFS,5367,Lightning,2001,1,2000-08-08
NOD-2187,Modoc,Cowhead/BLM D438,2001-08-08,2001-08-09,BLM,1670,Lightning,2001,2,2000-08-08
LMU-2178,Lassen,BLM D431 Shaffer,2001-08-08,2001-08-08,BLM,1100,Lightning,2001,1,2000-08-08
LMU-2228,Lassen,Observation,2001-08-09,2002-08-12,USFS,67700,Lightning,2001,369,2000-08-09
LMU-2248,Modoc NF,Blue Complex,2001-08-09,2002-08-10,USFS,37950,Lightning,2001,367,2000-08-09
